date,time,open,high,low,close,daily_poc,h4_poc,weekly_poc,adx_14,di_plus_14,di_minus_14
2021.06.02,05:00,13626.229,13642.169,13622.929,13639.309,13618.959,13632.409,13714.719,11.93,16.05,19.82
2021.06.02,06:00,13639.437,13648.697,13631.609,13646.109,13618.959,13632.409,13714.719,11.44,17.09,18.89
2021.06.02,07:00,13646.109,13659.699,13641.319,13655.419,13618.959,13632.409,13714.719,10.88,19.29,17.92
2021.06.02,08:00,13655.597,13675.217,13650.639,13672.339,13618.959,13626.389,13714.719,11.14,22.32,16.68
2021.06.02,09:00,13672.347,13711.179,13654.659,13682.259,13618.959,13626.389,13714.719,12.71,28.35,14.24
2021.06.02,10:00,13682.299,13714.967,13660.779,13686.869,13618.959,13626.389,13714.719,14.28,25.55,12.38
2021.06.02,11:00,13687.199,13708.599,13678.989,13698.869,13618.959,13626.389,13714.719,15.74,23.73,11.49
2021.06.02,12:00,13698.839,13701.469,13658.589,13672.479,13618.959,13672.339,13714.719,15.84,21.34,15.11
2021.06.02,13:00,13672.529,13678.487,13616.019,13630.989,13618.959,13672.339,13714.719,15.39,18.44,22.33
2021.06.02,14:00,13630.947,13643.087,13605.709,13639.159,13618.959,13672.339,13714.719,15.34,16.95,22.76
2021.06.02,15:00,13639.329,13680.449,13629.029,13677.109,13618.959,13672.339,13714.719,14.67,22.9,20.33
2021.06.02,16:00,13677.137,13681.089,13672.949,13679.939,13618.959,13630.989,13714.719,14.06,22.63,19.96
2021.06.02,18:00,13684.019,13687.289,13676.829,13679.789,13618.959,13630.989,13714.719,13.73,23.51,19.48
2021.06.02,19:00,13679.817,13689.299,13674.589,13687.109,13618.959,13630.989,13714.719,13.32,22.68,19.33
2021.06.02,20:00,13687.139,13707.177,13683.219,13703.849,13618.959,13679.789,13714.719,13.59,25.71,18.21
2021.06.02,21:00,13703.857,13704.589,13691.329,13696.669,13618.959,13679.789,13714.719,13.84,24.85,17.6
2021.06.02,22:00,13696.687,13700.599,13681.299,13689.709,13618.959,13679.789,13714.719,13.56,23.6,19.31
2021.06.02,23:00,13689.807,13691.987,13683.839,13688.289,13618.959,13679.789,13714.719,13.31,23.08,18.88
2021.06.03,00:00,13688.319,13692.589,13685.719,13685.889,13626.389,13688.289,13714.719,13.1,22.8,18.51
2021.06.03,01:00,13685.877,13697.389,13683.719,13692.639,13626.389,13688.289,13714.719,13.13,23.3,17.76
2021.06.03,02:00,13692.699,13695.899,13654.919,13663.229,13626.389,13688.289,13714.719,12.71,20.6,23.85
2021.06.03,03:00,13663.587,13665.289,13648.309,13654.389,13626.389,13688.289,13714.719,12.61,19.58,24.59
2021.06.03,04:00,13654.799,13669.099,13649.629,13667.189,13626.389,13654.389,13714.719,12.31,19.58,23.18
2021.06.03,05:00,13667.129,13667.129,13631.349,13643.209,13626.389,13654.389,13714.719,12.82,17.58,26.02
